Date	Precipitation[mmd-1]	Temperature[degC]	PPFD[mmolm-2s-1]	PET[mmd-1]	
2013-06-20	5	23.2210036	590.631819	4.25171468625519
2013-06-21	4.1	19.6447556	764.074265	3.97408142456588
2013-06-22	0	18.8783066	762.172891	3.91192871296071
2013-06-23	0	17.9495416	610.603979	3.8350678426827
2013-06-24	1.5	15.5818936	604.049648	3.63464337698895
2013-06-25	2.9	12.6117202	162.343367	3.37387526166178
2013-06-26	1.1	11.6814144	295.084034	3.28888911461023
2013-06-27	0	13.351786	529.107671	3.43473540901668
2013-06-28	0	14.308541	437.687116	3.51536351463053
2013-06-29	1	13.7709018	265.311293	3.46504180860115
2013-06-30	0	12.6168092	488.730516	3.35968581159884
2013-07-01	0.2	18.7190038	738.96994	3.87350558344888
2013-07-02	3.6	18.2068104	772.808221	3.82640977254138
2013-07-03	0	18.8132866	437.903532	3.86975593096447
2013-07-04	0	18.9546434	409.815749	3.8746573070167
2013-07-05	0	19.3005704	451.445028	3.89532569690504
2013-07-06	0	18.4760652	708.408824	3.82159824738385
2013-07-07	0	18.30799	784.077342	3.80007311175891
2013-07-08	0	19.352399	765.264557	3.87515462275212
2013-07-09	0	20.3337962	676.611042	3.94298979478467
2013-07-10	0	17.6162708	659.591422	3.7174945944009
2013-07-11	0	15.653476	326.232566	3.54642628675893
2013-07-12	0	16.3215574	704.575158	3.59188930978898
2013-07-13	0	17.7355306	697.139702	3.69639616148109
2013-07-14	0	16.0567222	631.874639	3.54888574341012
2013-07-15	0	16.9712914	722.04307	3.61208841418959
2013-07-16	0	19.0979428	718.951404	3.76871389208838
2013-07-17	0	20.2452056	671.061502	3.84395432272704
2013-07-18	0	20.8436464	644.364969	3.87538075223648
2013-07-19	0	20.5194154	726.20136	3.83672104769856
2013-07-20	0	19.4490252	483.907518	3.7410614828803
2013-07-21	0	20.6283628	753.423477	3.81491859234298
2013-07-22	0	21.6823474	747.456562	3.8766789087792
2013-07-23	0	23.1200248	694.434495	3.96300582609496
2013-07-24	5.5	21.819151	528.257463	3.85318783579453
2013-07-25	0	21.5825736	571.293449	3.81877547288631
2013-07-26	1.3	23.7216798	622.475975	3.95121618678361
2013-07-27	0	25.1980616	672.00446	4.0319049350853
2013-07-28	8	25.5861744	444.365113	4.03767168363166
2013-07-29	7.1	20.0352788	245.045425	3.63410683207019
2013-07-30	0	19.6215868	517.761258	3.58507758496644
2013-07-31	0.1	18.874356	317.158528	3.51136655399573
2013-08-01	0	21.8306684	698.994702	3.70235757901409
2013-08-02	0	25.416693	686.164289	3.92022873494158
2013-08-03	0.1	24.3551418	514.808717	3.82913645746915
2013-08-04	4.2	20.7864604	416.771997	3.56673752441607
2013-08-05	0	20.3689512	534.007961	3.51613630629226
2013-08-06	8.7	22.6386338	495.238473	3.64808965338988
2013-08-07	0.2	18.874222	284.402329	3.36796738669498
2013-08-08	2.5	19.91843	431.364659	3.41857052907019
2013-08-09	0	17.2614386	285.005204	3.20990713008957
2013-08-10	0.8	18.7976172	540.407709	3.29576291764937
2013-08-11	0	16.4330496	400.169752	3.10698156739786
2013-08-12	7.6	17.7481862	464.198149	3.17720136538852
2013-08-13	4.1	14.4642952	528.628463	2.92182115114673
2013-08-14	0	14.6808508	600.061399	2.91558726902279
2013-08-15	0	16.0202278	556.839912	2.98782954221491
2013-08-16	0	19.4896042	653.469924	3.1990682285606
2013-08-17	0	19.755578	470.087772	3.19124259501777
2013-08-18	0	19.9979812	234.997511	3.18127752194514
2013-08-19	4.2	17.5040424	207.991811	2.99317662383706
2013-08-20	0	15.9786444	425.799661	2.86669153951346
2013-08-21	0	16.588	490.662808	2.88272439541622
2013-08-22	0	17.090551	594.774651	2.89054343280956
2013-08-23	1.4	15.8818172	182.269152	2.78630833700009
2013-08-24	0	18.5135638	550.301039	2.9293749523098
2013-08-25	0	18.3622962	418.797038	2.8931959192641
2013-08-26	0	17.3855196	535.986627	2.80551283319728
2013-08-27	0	16.0546464	459.514275	2.69547282500069
2013-08-28	0	17.0243256	439.758532	2.72978941492254
2013-08-29	0	17.4010546	534.657211	2.7259694941235
2013-08-30	0	18.241028	523.295339	2.74911307774081
2013-08-31	1.3	18.2766518	385.407048	2.72331091622671
2013-09-01	0	13.868265	340.917979	2.42937537181734
2013-09-02	0.6	14.785044	110.0633	2.45970547081706
2013-09-03	0	17.6581894	207.388936	2.60282589875444
2013-09-04	0	18.4788106	302.473115	2.62122035463378
2013-09-05	0	18.5509288	561.585619	2.59631669228855
2013-09-06	0	19.6645766	563.672493	2.62826513316168
2013-09-07	0	20.4490384	523.743631	2.64028335515526
2013-09-08	2.8	17.6137936	192.749899	2.45753860525307
2013-09-09	45	12.9470666	197.588356	2.16730053842057
2013-09-10	1.3	12.9032062	324.53215	2.1386766316351
2013-09-11	5.4	11.772751	155.866327	2.04859181380673
2013-09-12	1.4	11.6037386	167.11999	2.01356989123344
2013-09-13	2.2	13.6877352	332.864189	2.10278929342533
2013-09-14	0	14.7362286	325.598775	2.13197484615673
2013-09-15	0	14.4766162	237.161677	2.09063271140323
2013-09-16	1.9	12.896644	175.622071	1.98009012206505
2013-09-17	0	10.1939174	430.916368	1.81058044255518
2013-09-18	1.7	10.4760958	197.356481	1.80066800774052
2013-09-19	0	11.3434566	339.001146	1.82055649026882
2013-09-20	0.3	12.7698848	169.114115	1.86718205188469
2013-09-21	0	13.047577	173.59703	1.85434977015831
2013-09-22	0	13.8601624	260.550128	1.86709961921478
2013-09-23	0	15.363195	119.12188	1.91107350300146
2013-09-24	0	15.1929774	192.085191	1.87486016609501
2013-09-25	0	12.9539636	180.027695	1.74281578506847
2013-09-26	2.1	11.2466296	166.517115	1.6366207805508
2013-09-27	0	7.1992356	395.346754	1.42212226136799
2013-09-28	0	8.348909	434.842783	1.45265961775003
2013-09-29	0	9.3361322	449.419987	1.47409368526734
2013-09-30	0	8.085011	441.829948	1.39408214367958
2013-10-01	0	7.5158998	423.078995	1.34584662046588
2013-10-02	0	7.348762	438.367282	1.31593922592316
2013-10-03	0	6.7754322	438.985615	1.26894320658976
2013-10-04	0	8.2504076	322.939942	1.30909304994487
2013-10-05	0	11.4215348	135.925083	1.41658341097681
2013-10-06	6.3	11.7869472	58.246982	1.40630539644369
2013-10-07	0	13.1778182	109.5068	1.43570916223323
2013-10-08	0	12.6298668	108.285592	1.38886634074293
2013-10-09	1	13.1870586	152.017203	1.38456589965725
2013-10-10	6.7	8.7011968	57.412232	1.19057533388573
2013-10-11	24.2	8.029098	29.355366	1.14303767336211
2013-10-12	0.6	7.4670172	85.73189	1.1005436892106
2013-10-13	0	6.3524324	191.791483	1.03902145611321
2013-10-14	0.1	7.7354688	158.757035	1.06750818289795
2013-10-15	7.6	10.2228452	143.267789	1.13248346395264
2013-10-16	0	9.1278796	159.900951	1.07271133375525
2013-10-17	1.5	11.1703594	205.87402	1.11890558826935
2013-10-18	0.2	9.6495818	70.814603	1.04654537862556
2013-10-19	0	9.8933912	298.871325	1.03270883006846
2013-10-20	0	15.5196188	80.986183	1.18533159918794
2013-10-21	0	14.1756212	131.674043	1.12046777214073
2013-10-22	0	14.687882	272.37575	1.11192539105258
2013-10-23	0	16.175848	113.47959	1.1309231873762
2013-10-24	0.5	13.1569928	140.94904	1.02135904469053
2013-10-25	0.1	10.9471746	93.476513	0.936744997497613
2013-10-26	0.5	16.1187964	85.190849	1.05773103687118
2013-10-27	4.2	15.2829076	209.089352	1.01236956126744
2013-10-28	0	15.4139524	166.826282	0.99328120093155
2013-10-29	0.1	11.5015546	268.897626	0.870005816150614
2013-10-30	0	8.4083044	274.308041	0.770704402439742
2013-10-31	0	5.872983	285.159787	0.68901400669443
2013-11-01	0	8.1579998	50.749693	0.72897613466496
2013-11-02	2.8	11.2807802	63.425522	0.78703415654494
2013-11-03	1.1	10.0512878	118.28713	0.739538367895562
2013-11-04	1.2	9.2366934	78.945684	0.703136980741254
2013-11-05	0	6.9300478	159.081659	0.634145606066729
2013-11-06	3.6	7.7147772	128.659669	0.636065989419624
2013-11-07	5.7	12.519915	101.051094	0.72446800476179
2013-11-08	13.2	9.1562048	79.301226	0.635926336443983
2013-11-09	0.7	8.9970356	217.761475	0.617098589763981
2013-11-10	0.2	5.9913052	78.682892	0.54124447984951
2013-11-11	0	4.6598966	148.291746	0.501731206765119
2013-11-12	1.3	3.7610636	229.262471	0.472108932369211
2013-11-13	1	5.9781808	204.142687	0.501592629016939
2013-11-14	0	1.9767898	154.057703	0.416710362325911
2013-11-15	0	1.3655594	44.21082	0.395605959522671
2013-11-16	0	1.446048	105.549468	0.386920211133496
2013-11-17	0	1.8342274	51.074318	0.383526412436863
2013-11-18	0	4.6371966	19.075577	0.419871407671334
2013-11-19	0.1	5.8599256	36.327072	0.429473223584947
2013-11-20	21.7	3.4306722	25.583534	0.380282815195985
2013-11-21	1.3	1.7325788	19.601161	0.345046073491344
2013-11-22	0.6	3.1183608	14.839995	0.357173052760179
2013-11-23	0	4.905179	19.492952	0.375017275505837
2013-11-24	0.8	2.6887316	53.331234	0.334003249376015
2013-11-25	0	-0.265572	163.98195	0.285583944106408
2013-11-26	0	-0.9437646	214.437934	0.269968319062003
2013-11-27	0	-1.022646	116.447589	0.262632136223896
2013-11-28	0.1	4.0732412	36.512572	0.322458991189923
2013-11-29	2.9	4.5898544	42.711362	0.322161576379961
2013-11-30	1.5	3.7337428	22.368201	0.304193096081
2013-12-01	0	4.804334	100.139053	0.311362366059176
2013-12-02	0	2.1632124	49.11111	0.272437723051936
2013-12-03	0	-0.1491248	119.431047	0.239953902543962
2013-12-04	0	0.8496828	19.678452	0.246573436669992
2013-12-05	5.1	2.8243972	36.589864	0.264539095723183
2013-12-06	0.3	1.7361948	120.064838	0.247444196657981
2013-12-07	0.3	1.651287	35.044031	0.242241324511727
2013-12-08	0.1	5.324898	83.706849	0.279475126357249
2013-12-09	3.2	7.5187794	24.779701	0.300371219278217
2013-12-10	0.2	7.5075294	33.838281	0.296007432342582
2013-12-11	0	5.401168	31.287657	0.268522059685442
2013-12-12	0	2.4247664	55.201691	0.233183732517857
2013-12-13	0	1.5107332	161.245825	0.221026073792201
2013-12-14	0	2.1066966	82.083725	0.224785539362858
2013-12-15	0.2	3.2601196	32.416115	0.234535037671352
2013-12-16	0	4.3267598	162.467033	0.24367983358809
2013-12-17	0	2.8089288	74.81831	0.226346435189017
2013-12-18	0	1.9135106	79.177559	0.216004092131723
2013-12-19	0	5.8053514	32.014198	0.254805048335684
2013-12-20	0	4.3485228	36.89903	0.238807808189313
2013-12-21	0	3.8906354	59.452732	0.233580926952514
2013-12-22	0.4	8.642605	21.100619	0.28312690660241
2013-12-23	1.4	7.329477	129.540794	0.269173908816212
2013-12-24	0	9.1125454	53.887733	0.288616047357442
2013-12-25	4.3	8.1034926	37.161822	0.27851032604002
2013-12-26	3.8	5.2902786	31.194907	0.249733065971067
2013-12-27	0	6.103199	160.642951	0.259558555942649
2013-12-28	1.6	8.3322352	48.879235	0.285150428180655
2013-12-29	1.8	5.5463416	85.422724	0.257154024943328
2013-12-30	0	1.8665702	170.273489	0.220845792644059
2013-12-31	0	1.3906032	149.126496	0.218172691251745
2014-01-01	0	1.6418452	59.28269	0.22397083368975
2014-01-02	0.3	5.2614178	27.716783	0.265698461882877
2014-01-03	0	6.207727	76.410518	0.279807248304626
2014-01-04	1.7	5.5659616	57.242191	0.276481991702918
2014-01-05	0	5.2811046	24.532367	0.27741457013135
2014-01-06	1.4	5.0722496	48.910152	0.279464774401844
2014-01-07	1.2	8.724031	158.324201	0.327732236988613
2014-01-08	0	8.6220476	153.037453	0.332201464266758
2014-01-09	1.1	8.2563004	65.265063	0.33371949401106
2014-01-10	0	5.177849	123.264712	0.301678482289851
2014-01-11	0.2	3.8393424	103.261635	0.291108784804394
2014-01-12	0	2.6214346	173.488822	0.282025796165542
2014-01-13	0	0.2231178	49.404818	0.258508447980391
2014-01-14	0	2.167766	26.603783	0.288750555581055
2014-01-15	0	3.0778488	63.410064	0.307248773278698
2014-01-16	6.5	3.997239	32.570698	0.326796168270497
2014-01-17	0.1	5.4827946	36.651697	0.355226986219791
2014-01-18	0	2.0390648	106.677926	0.315132356960886
2014-01-19	0	2.5402764	12.907704	0.329974019402378
2014-01-20	1.5	-0.5968336	11.28458	0.293682254555517
2014-01-21	0.1	-1.4153122	14.314412	0.289701625663535
2014-01-22	2.3	-2.5114156	36.99178	0.28176371781016
2014-01-23	1.3	-3.3927048	45.246528	0.276718691389787
2014-01-24	1.5	-3.7245024	35.554156	0.279337560343717
2014-01-25	0	-8.9727954	64.569438	0.215481189890357
2014-01-26	0.4	-9.3620466	67.011854	0.21644452730938
2014-01-27	0.6	0.2383854	128.721502	0.365494849301706
2014-01-28	0	-0.912828	130.653793	0.355954721874355
2014-01-29	0.1	-4.3016492	40.562654	0.309849345128968
2014-01-30	0	-2.2301078	169.423281	0.35262712831766
2014-01-31	0	-2.3653044	133.760917	0.359760149446196
2014-02-01	0	0.9114888	220.822224	0.4292512815433
2014-02-02	1.9	2.695227	66.115271	0.475178515710116
2014-02-03	0	0.2632952	126.109045	0.439553230672827
2014-02-04	0.1	1.128714	123.18742	0.468480253713869
2014-02-05	0	1.1695612	181.836319	0.481576376376313
2014-02-06	0	5.202692	210.573352	0.581078945200439
2014-02-07	0	8.3000936	115.087256	0.665723495304285
2014-02-08	0.1	5.882425	116.772214	0.626639766211968
2014-02-09	0	5.5260522	199.11873	0.63403552376183
2014-02-10	0	3.4628142	202.581396	0.600659122819157
2014-02-11	0	4.5950772	170.659948	0.643274151370104
2014-02-12	0	3.7915982	239.928718	0.639177513919924
2014-02-13	4.5	5.5906704	137.362708	0.700907395454651
2014-02-14	0	5.2290082	299.1032	0.708448987617574
2014-02-15	0	8.7424458	97.372012	0.820025582617745
2014-02-16	1	6.6541636	166.687157	0.78197275253945
2014-02-17	0	4.9598204	262.559711	0.752962824727709
2014-02-18	0	3.2638024	118.47263	0.722494305595791
2014-02-19	0	6.446715	171.077322	0.831990758021084
2014-02-20	0	6.6844304	258.154087	0.858155676079146
2014-02-21	1.7	6.6576458	126.24817	0.876795390265525
2014-02-22	0	5.1389438	323.202734	0.849237765723043
2014-02-23	0	4.8404936	299.56695	0.858716808007211
2014-02-24	0	4.5735822	368.65022	0.869040647902353
2014-02-25	0	6.2864074	339.217562	0.94448342180026
2014-02-26	0	7.5441576	230.035388	1.0071656639127
2014-02-27	0	7.2663318	140.701707	1.01891388403182
2014-02-28	0	4.2812258	135.724125	0.935807343408298
2014-03-01	0	4.0903836	303.26149	0.948502198961716
2014-03-02	0	4.0353406	207.141603	0.966023436626316
2014-03-03	0	4.7540454	338.398271	1.01214729154312
2014-03-04	0	5.290948	129.896335	1.0526346737438
2014-03-05	0	6.0741376	274.679041	1.10347507900807
2014-03-06	0	3.5434366	133.652709	1.02621754329985
2014-03-07	0	3.4618766	237.919135	1.04279396436788
2014-03-08	0	6.140564	296.305242	1.17090163873312
2014-03-09	0	6.6093662	413.541206	1.21209149064624
2014-03-10	0	6.9598458	431.859326	1.24909479800968
2014-03-11	0	6.207794	402.426668	1.23966783265244
2014-03-12	0	6.4593036	452.851736	1.27278184290383
2014-03-13	0	7.7832796	436.945116	1.35360039304794
2014-03-14	0	8.5394164	429.030452	1.41089511136945
2014-03-15	1.3	7.8849284	107.358092	1.40530243247024
2014-03-16	0.1	9.7019462	120.636796	1.51263453539328
2014-03-17	0	10.091666	127.206586	1.55581322615885
2014-03-18	0	10.0832958	171.417406	1.58078911742218
2014-03-19	0.1	10.0930056	148.879163	1.60666192929949
2014-03-20	0	13.3369872	490.539141	1.78791257616998
2014-03-21	0	14.814909	429.803368	1.8861474698186
2014-03-22	3.9	8.6699256	147.256038	1.61161006995917
2014-03-23	0	6.212682	175.884863	1.51012420693666
2014-03-24	0.2	4.7234438	172.793197	1.45525678862316
2014-03-25	0.4	4.448229	322.306151	1.46231063264221
2014-03-26	0	5.068031	401.57646	1.51681729314514
2014-03-27	0	7.6778814	381.557924	1.68015696432237
2014-03-28	0	5.4270822	118.28713	1.58011276634915
2014-03-29	0	8.596401	398.283836	1.77836662077559
2014-03-30	0	9.4810384	364.12093	1.85210509586877
2014-03-31	0	9.9991244	303.122365	1.90614369810349
2014-04-01	0	10.1684716	347.735101	1.94086587511485
2014-04-02	0	12.39416	475.034437	2.0933987277092
2014-04-03	1.1	14.0463176	456.468985	2.21400180465189
2014-04-04	0	11.3901294	261.848628	2.08780663904777
2014-04-05	0	10.2048322	222.569015	2.04287837941663
2014-04-06	0	13.0957226	438.56824	2.24043653176636
2014-04-07	0	15.5266498	379.486508	2.41007265257235
2014-04-08	0.7	12.4333328	279.672081	2.2533005710802
2014-04-09	0.3	8.4255806	353.825683	2.02917468222503
2014-04-10	0.5	9.0866982	185.036193	2.09430902454302
2014-04-11	0.5	9.8216746	204.142687	2.16475892560295
2014-04-12	0.1	10.7252622	455.927943	2.24663923612187
2014-04-13	0	11.6718392	522.429673	2.33192304300709
2014-04-14	1.6	7.7285716	401.901085	2.09622083605615
2014-04-15	0.9	5.887179	347.178602	1.99365076695929
2014-04-16	0	6.1451844	593.352484	2.03161682888612
2014-04-17	0	7.3601456	569.670325	2.13563237460361
2014-04-18	7.3	6.7836686	330.004399	2.11659182865896
2014-04-19	0	8.8977978	462.404983	2.28477608841098
2014-04-20	0	14.1839918	549.821831	2.67001129850642
2014-04-21	0	12.4378194	464.337274	2.57535820190264
2014-04-22	0	13.9918102	492.146807	2.70576171830194
2014-04-23	0	14.6420128	557.056329	2.77432928567954
2014-04-24	0	12.3527774	264.32196	2.63847366602521
2014-04-25	0	14.4425324	510.743176	2.80828263998465
2014-04-26	0	15.2862558	526.98988	2.89059599557285
2014-04-27	7.1	13.9879266	358.061265	2.8225369063277
2014-04-28	2.2	13.9464768	238.135552	2.84214634370664
2014-04-29	0	14.3118896	475.080812	2.8907309252257
