Date	DayCount	NumberPlants	LeafAreaIndex
2013-04-30	120	14	1103.54
2013-05-01	121	14	1621.92
2013-05-02	122	14	2262.55
2013-05-03	123	14	3371.58
2013-05-04	124	14	4916.92
2013-05-05	125	14	7613.97
2013-05-06	126	14	11615.6
2013-05-07	127	14	16554.9
2013-05-08	128	14	25285.5
2013-05-09	129	14	38168.8
2013-05-10	130	14	54896.2
2013-05-11	131	14	79412.7
2013-05-12	132	14	111907
2013-05-13	133	14	144889
2013-05-14	134	14	198537
2013-05-15	135	14	275411
2013-05-16	136	14	369894
2013-05-17	137	14	484979
2013-05-18	138	14	561825
2013-05-19	139	14	713615
2013-05-20	140	14	862220
2013-05-21	141	14	1.0526e+06
2013-05-22	142	14	1.15305e+06
2013-05-23	143	14	1.3808e+06
2013-05-24	144	14	1.54144e+06
2013-05-25	145	14	1.80582e+06
2013-05-26	146	14	1.87875e+06
2013-05-27	147	14	2.02419e+06
2013-05-28	148	14	2.36247e+06
2013-05-29	149	14	2.72176e+06
2013-05-30	150	14	3.01488e+06
2013-05-31	151	14	3.26147e+06
2013-06-01	152	14	3.56299e+06
2013-06-02	153	14	3.76252e+06
2013-06-03	154	14	4.16605e+06
2013-06-04	155	14	4.61332e+06
2013-06-05	156	14	5.34745e+06
2013-06-06	157	14	6.10209e+06
2013-06-07	158	14	6.91771e+06
2013-06-08	159	14	7.72106e+06
2013-06-09	160	14	8.53838e+06
2013-06-10	161	14	9.37935e+06
2013-06-11	162	14	1.03632e+07
2013-06-12	163	14	1.14704e+07
2013-06-13	164	14	1.25782e+07
2013-06-14	165	14	1.36997e+07
2013-06-15	166	14	1.4937e+07
2013-06-16	167	14	1.63206e+07
2013-06-17	168	14	1.78701e+07
2013-06-18	169	14	1.94898e+07
2013-06-19	170	14	2.11323e+07
2013-06-20	171	14	2.28414e+07
2013-06-21	172	14	2.46624e+07
2013-06-22	173	13	2.64757e+07
2013-06-23	174	13	2.83626e+07
2013-06-24	175	13	3.02322e+07
2013-06-25	176	13	3.15066e+07
2013-06-26	177	13	3.3151e+07
2013-06-27	178	13	3.55198e+07
2013-06-28	179	13	3.78871e+07
2013-06-29	180	13	3.89054e+07
2013-06-30	181	13	4.07117e+07
2013-07-01	182	13	4.34567e+07
2013-07-02	183	13	4.60784e+07
2013-07-03	184	13	4.86616e+07
2013-07-04	185	13	5.10949e+07
2013-07-05	186	13	5.38533e+07
2013-07-06	187	13	5.68736e+07
2013-07-07	188	13	6.04312e+07
2013-07-08	189	13	6.40313e+07
2013-07-09	190	13	6.74722e+07
2013-07-10	191	13	7.10675e+07
2013-07-11	192	13	7.41143e+07
2013-07-12	193	13	7.76889e+07
2013-07-13	194	13	8.12369e+07
2013-07-14	195	13	8.41851e+07
2013-07-15	196	13	8.79873e+07
2013-07-16	197	13	9.244e+07
2013-07-17	198	13	9.66174e+07
2013-07-18	199	13	1.00803e+08
2013-07-19	200	13	1.05462e+08
2013-07-20	201	13	1.08935e+08
2013-07-21	202	13	1.13938e+08
2013-07-22	203	13	1.18901e+08
2013-07-23	204	13	1.23788e+08
2013-07-24	205	13	1.28429e+08
2013-07-25	206	13	1.33029e+08
2013-07-26	207	13	1.37573e+08
2013-07-27	208	13	1.42134e+08
2013-07-28	209	13	1.46602e+08
2013-07-29	210	13	1.50331e+08
2013-07-30	211	13	1.55383e+08
2013-07-31	212	13	1.592e+08
2013-08-01	213	13	1.9829e+06
2013-08-02	214	13	1.98219e+06
2013-08-03	215	13	1.98144e+06
2013-08-04	216	13	1.98067e+06
2013-08-05	217	13	1.97987e+06
2013-08-06	218	13	1.97905e+06
2013-08-07	219	13	1.9782e+06
2013-08-08	220	13	1.97732e+06
2013-08-09	221	13	1.97643e+06
2013-08-10	222	13	1.9755e+06
2013-08-11	223	13	1.97456e+06
2013-08-12	224	13	1.97359e+06
2013-08-13	225	13	1.99607e+06
2013-08-14	226	13	2.02089e+06
2013-08-15	227	13	2.01986e+06
2013-08-16	228	13	2.0188e+06
2013-08-17	229	13	2.01773e+06
2013-08-18	230	13	2.01663e+06
2013-08-19	231	13	2.01552e+06
2013-08-20	232	12	2.01438e+06
2013-08-21	233	12	2.01323e+06
2013-08-22	234	12	2.01205e+06
2013-08-23	235	12	2.01086e+06
2013-08-24	236	12	2.00965e+06
2013-08-25	237	12	2.00843e+06
2013-08-26	238	11	2.00719e+06
2013-08-27	239	11	2.00593e+06
2013-08-28	240	11	2.00465e+06
2013-08-29	241	11	2.00337e+06
2013-08-30	242	11	2.00206e+06
2013-08-31	243	11	2.00074e+06
2013-09-01	244	11	1.99941e+06
2013-09-02	245	11	1.99806e+06
2013-09-03	246	11	1.9967e+06
2013-09-04	247	11	1.99533e+06
2013-09-05	248	11	1.99394e+06
2013-09-06	249	11	1.99254e+06
2013-09-07	250	11	1.99113e+06
2013-09-08	251	11	1.98971e+06
2013-09-09	252	11	1.98828e+06
2013-09-10	253	11	1.98683e+06
2013-09-11	254	11	1.98538e+06
2013-09-12	255	11	1.98391e+06
2013-09-13	256	9	1.58595e+06
2013-09-14	257	9	1.58476e+06
2013-09-15	258	9	1.58356e+06
2013-09-16	259	9	1.58235e+06
2013-09-17	260	9	1.58114e+06
2013-09-18	261	9	1.57992e+06
2013-09-19	262	9	1.57869e+06
2013-09-20	263	9	1.57746e+06
2013-09-21	264	9	1.57622e+06
2013-09-22	265	9	1.57497e+06
2013-09-23	266	9	1.57372e+06
2013-09-24	267	9	1.57246e+06
2013-09-25	268	9	1.5712e+06
2013-09-26	269	9	1.56993e+06
2013-09-27	270	9	1.56865e+06
2013-09-28	271	9	1.56737e+06
2013-09-29	272	9	1.56608e+06
2013-09-30	273	9	1.56479e+06
2013-10-01	274	9	1.56349e+06
2013-10-02	275	9	1.56219e+06
2013-10-03	276	9	1.56499e+06
2013-10-04	277	9	1.56368e+06
2013-10-05	278	9	1.56236e+06
2013-10-06	279	9	1.56105e+06
2013-10-07	280	9	1.55972e+06
2013-10-08	281	8	1.1688e+06
2013-10-09	282	8	1.1678e+06
2013-10-10	283	8	1.1668e+06
2013-10-11	284	8	1.16579e+06
2013-10-12	285	8	1.16479e+06
2013-10-13	286	8	1.16378e+06
2013-10-14	287	8	1.16277e+06
2013-10-15	288	8	1.16176e+06
2013-10-16	289	8	1.16074e+06
2013-10-17	290	8	1.15972e+06
2013-10-18	291	8	1.1587e+06
2013-10-19	292	8	1.15768e+06
2013-10-20	293	8	1.15666e+06
2013-10-21	294	8	1.15563e+06
2013-10-22	295	8	1.1546e+06
2013-10-23	296	8	1.15357e+06
2013-10-24	297	8	1.15254e+06
2013-10-25	298	8	1.15151e+06
2013-10-26	299	8	1.15047e+06
2013-10-27	300	8	1.14943e+06
2013-10-28	301	8	1.14839e+06
2013-10-29	302	8	1.14735e+06
2013-10-30	303	8	1.14631e+06
2013-10-31	304	8	1.14527e+06
2013-11-01	305	8	1.14423e+06
2013-11-02	306	8	1.14318e+06
2013-11-03	307	8	1.14214e+06
2013-11-04	308	7	760726
2013-11-05	309	7	760028
2013-11-06	310	7	759328
2013-11-07	311	7	758629
2013-11-08	312	7	757928
2013-11-09	313	7	757227
2013-11-10	314	7	756525
2013-11-11	315	7	755824
2013-11-12	316	7	755122
2013-11-13	317	7	754421
2013-11-14	318	7	753719
2013-11-15	319	7	753018
2013-11-16	320	7	752317
2013-11-17	321	7	751617
2013-11-18	322	6	750916
2013-11-19	323	6	750216
2013-11-20	324	6	749515
2013-11-21	325	5	374408
2013-11-22	326	5	374058
2013-11-23	327	5	373709
2013-11-24	328	5	373359
2013-11-25	329	5	374213
2013-11-26	330	5	374873
2013-11-27	331	5	375381
2013-11-28	332	5	375032
2013-11-29	333	5	374684
2013-11-30	334	5	374335
2013-12-01	335	5	373987
2013-12-02	336	5	373638
2013-12-03	337	5	373751
2013-12-04	338	5	373403
2013-12-05	339	5	373055
2013-12-06	340	5	372708
2013-12-07	341	5	372360
2013-12-08	342	5	372013
2013-12-09	343	5	371666
2013-12-10	344	5	371319
2013-12-11	345	5	370971
2013-12-12	346	5	370624
2013-12-13	347	5	370277
2013-12-14	348	5	369930
2013-12-15	349	4	0.324524
2013-12-16	350	4	0.324289
2013-12-17	351	4	0.324047
2013-12-18	352	4	0.323781
2013-12-19	353	4	0.323474
2013-12-20	354	4	0.323164
2013-12-21	355	4	0.322876
2013-12-22	356	4	0.322564
2013-12-23	357	4	0.32228
2013-12-24	358	4	0.321974
2013-12-25	359	4	0.321663
2013-12-26	360	4	0.321352
2013-12-27	361	4	0.321068
2013-12-28	362	4	0.32077
2013-12-29	363	4	0.320483
2013-12-30	364	4	0.320205
2013-12-31	365	4	0.0105639
2014-01-01	366	4	0.0105972
2014-01-02	367	4	0.0105971
2014-01-03	368	4	0.0106348
2014-01-04	369	4	0.0106529
2014-01-05	370	4	0.0106525
2014-01-06	371	4	0.0106804
2014-01-07	372	4	0.0107361
2014-01-08	373	4	0.0107987
2014-01-09	374	4	0.0108345
2014-01-10	375	3	0.00593606
2014-01-11	376	3	0.00595325
2014-01-12	377	3	0.00597061
2014-01-13	378	2	0.00100181
2014-01-14	379	2	0.00100162
2014-01-15	380	2	0.00100142
2014-01-16	381	2	0.00100121
2014-01-17	382	2	0.00100098
2014-01-18	383	2	0.00100075
2014-01-19	384	1	0.000500257
2014-01-20	385	1	0.000500365
2014-01-21	386	1	0.000501003
2014-01-22	387	1	0.000502342
2014-01-23	388	1	0.000503008
2014-01-24	389	1	0.000503934
2014-01-25	390	1	0.000503811
2014-01-26	391	1	0.000503688
2014-01-27	392	1	0.000506517
2014-01-28	393	1	0.000509674
2014-01-29	394	1	0.000509866
2014-01-30	395	1	0.000511623
2014-01-31	396	1	0.000513939
2014-02-01	397	1	0.000515559
2014-02-02	398	1	0.000515424
2014-02-03	399	1	0.000518683
2014-02-04	400	1	0.00052247
2014-02-05	401	1	0.000525976
2014-02-06	402	1	0.000525827
2014-02-07	403	1	0.000525669
2014-02-08	404	1	0.000525505
2014-02-09	405	1	0.000525336
2014-02-10	406	1	0.000525162
2014-02-11	407	1	0.000524983
2014-02-12	408	1	0.000525258
2014-02-13	409	1	0.000525069
2014-02-14	410	1	0.000524875
2014-02-15	411	1	0.000524674
2014-02-16	412	1	0.000524467
2014-02-17	413	1	0.000524255
2014-02-18	414	1	0.000524038
2014-02-19	415	1	0.000523816
2014-02-20	416	1	0.000523588
2014-02-21	417	1	0.000523353
2014-02-22	418	1	0.000523114
2014-02-23	419	1	0.000522871
2014-02-24	420	1	0.000522624
2014-02-25	421	1	0.00052237
2014-02-26	422	1	0.000522111
2014-02-27	423	1	0.000521847
2014-02-28	424	1	0.00052158
2014-03-01	425	1	0.000521308
2014-03-02	426	1	0.000521033
2014-03-03	427	1	0.000520754
2014-03-04	428	1	0.00052047
2014-03-05	429	1	0.000520182
2014-03-06	430	1	0.000519892
2014-03-07	431	1	0.000519598
2014-03-08	432	1	0.0005193
2014-03-09	433	1	0.000518997
2014-03-10	434	1	0.000518689
2014-03-11	435	1	0.000518377
2014-03-12	436	1	0.000518061
2014-03-13	437	1	0.00051774
2014-03-14	438	1	0.000517416
2014-03-15	439	1	0.000517088
2014-03-16	440	1	0.000516755
2014-03-17	441	1	0.000516419
2014-03-18	442	1	0.000516078
2014-03-19	443	1	0.000515734
2014-03-20	444	1	0.000515386
2014-03-21	445	1	0.000515035
2014-03-22	446	1	0.000514679
2014-03-23	447	1	0.000514321
2014-03-24	448	1	0.000513962
2014-03-25	449	1	0.0005136
2014-03-26	450	1	0.000513237
2014-03-27	451	1	0.00051287
2014-03-28	452	1	0.000512501
2014-03-29	453	1	0.000512129
2014-03-30	454	1	0.000511754
2014-03-31	455	0	0
2014-04-01	456	0	0
2014-04-02	457	0	0
2014-04-03	458	0	0
2014-04-04	459	0	0
2014-04-05	460	0	0
2014-04-06	461	0	0
2014-04-07	462	0	0
2014-04-08	463	0	0
2014-04-09	464	0	0
2014-04-10	465	0	0
2014-04-11	466	0	0
2014-04-12	467	0	0
2014-04-13	468	0	0
2014-04-14	469	0	0
2014-04-15	470	0	0
2014-04-16	471	0	0
2014-04-17	472	0	0
2014-04-18	473	0	0
2014-04-19	474	0	0
2014-04-20	475	0	0
2014-04-21	476	0	0
2014-04-22	477	0	0
2014-04-23	478	0	0
2014-04-24	479	0	0
2014-04-25	480	0	0
2014-04-26	481	0	0
2014-04-27	482	0	0
2014-04-28	483	0	0
2014-04-29	484	0	0
2014-04-30	485	0	0
2014-05-01	486	0	0
2014-05-02	487	0	0
2014-05-03	488	0	0
2014-05-04	489	0	0
2014-05-05	490	0	0
2014-05-06	491	0	0
2014-05-07	492	0	0
2014-05-08	493	0	0
2014-05-09	494	0	0
2014-05-10	495	0	0
2014-05-11	496	0	0
2014-05-12	497	0	0
2014-05-13	498	0	0
2014-05-14	499	0	0
2014-05-15	500	0	0
2014-05-16	501	0	0
2014-05-17	502	0	0
2014-05-18	503	0	0
2014-05-19	504	0	0
2014-05-20	505	0	0
2014-05-21	506	0	0
2014-05-22	507	0	0
2014-05-23	508	0	0
2014-05-24	509	0	0
2014-05-25	510	0	0
2014-05-26	511	0	0
2014-05-27	512	0	0
2014-05-28	513	0	0
2014-05-29	514	0	0
2014-05-30	515	0	0
2014-05-31	516	0	0
2014-06-01	517	0	0
2014-06-02	518	0	0
2014-06-03	519	0	0
2014-06-04	520	0	0
2014-06-05	521	0	0
2014-06-06	522	0	0
2014-06-07	523	0	0
2014-06-08	524	0	0
2014-06-09	525	0	0
2014-06-10	526	0	0
2014-06-11	527	0	0
2014-06-12	528	0	0
2014-06-13	529	0	0
2014-06-14	530	0	0
2014-06-15	531	0	0
2014-06-16	532	0	0
2014-06-17	533	0	0
2014-06-18	534	0	0
2014-06-19	535	0	0
2014-06-20	536	0	0
2014-06-21	537	0	0
2014-06-22	538	0	0
2014-06-23	539	0	0
2014-06-24	540	0	0
2014-06-25	541	0	0
2014-06-26	542	0	0
2014-06-27	543	0	0
2014-06-28	544	0	0
2014-06-29	545	0	0
2014-06-30	546	0	0
2014-07-01	547	0	0
2014-07-02	548	0	0
2014-07-03	549	0	0
2014-07-04	550	0	0
2014-07-05	551	0	0
2014-07-06	552	0	0
2014-07-07	553	0	0
2014-07-08	554	0	0
2014-07-09	555	0	0
2014-07-10	556	0	0
2014-07-11	557	0	0
2014-07-12	558	0	0
2014-07-13	559	0	0
2014-07-14	560	0	0
2014-07-15	561	0	0
2014-07-16	562	0	0
2014-07-17	563	0	0
2014-07-18	564	0	0
2014-07-19	565	0	0
2014-07-20	566	0	0
2014-07-21	567	0	0
2014-07-22	568	0	0
2014-07-23	569	0	0
2014-07-24	570	0	0
2014-07-25	571	0	0
2014-07-26	572	0	0
2014-07-27	573	0	0
2014-07-28	574	0	0
2014-07-29	575	0	0
2014-07-30	576	0	0
2014-07-31	577	0	0
2014-08-01	578	0	0
2014-08-02	579	0	0
2014-08-03	580	0	0
2014-08-04	581	0	0
2014-08-05	582	0	0
2014-08-06	583	0	0
2014-08-07	584	0	0
2014-08-08	585	0	0
2014-08-09	586	0	0
2014-08-10	587	0	0
2014-08-11	588	0	0
2014-08-12	589	0	0
2014-08-13	590	0	0
2014-08-14	591	0	0
2014-08-15	592	0	0
2014-08-16	593	0	0
2014-08-17	594	0	0
2014-08-18	595	0	0
2014-08-19	596	0	0
2014-08-20	597	0	0
2014-08-21	598	0	0
2014-08-22	599	0	0
2014-08-23	600	0	0
2014-08-24	601	0	0
2014-08-25	602	0	0
2014-08-26	603	0	0
2014-08-27	604	0	0
2014-08-28	605	0	0
2014-08-29	606	0	0
2014-08-30	607	0	0
2014-08-31	608	0	0
2014-09-01	609	0	0
2014-09-02	610	0	0
2014-09-03	611	0	0
2014-09-04	612	0	0
2014-09-05	613	0	0
2014-09-06	614	0	0
2014-09-07	615	0	0
2014-09-08	616	0	0
2014-09-09	617	0	0
2014-09-10	618	0	0
2014-09-11	619	0	0
2014-09-12	620	0	0
2014-09-13	621	0	0
2014-09-14	622	0	0
2014-09-15	623	0	0
2014-09-16	624	0	0
2014-09-17	625	0	0
2014-09-18	626	0	0
2014-09-19	627	0	0
2014-09-20	628	0	0
2014-09-21	629	0	0
2014-09-22	630	0	0
2014-09-23	631	0	0
2014-09-24	632	0	0
2014-09-25	633	0	0
2014-09-26	634	0	0
2014-09-27	635	0	0
2014-09-28	636	0	0
2014-09-29	637	0	0
2014-09-30	638	0	0
2014-10-01	639	0	0
2014-10-02	640	0	0
2014-10-03	641	0	0
2014-10-04	642	0	0
2014-10-05	643	0	0
2014-10-06	644	0	0
2014-10-07	645	0	0
2014-10-08	646	0	0
2014-10-09	647	0	0
2014-10-10	648	0	0
2014-10-11	649	0	0
2014-10-12	650	0	0
2014-10-13	651	0	0
2014-10-14	652	0	0
2014-10-15	653	0	0
2014-10-16	654	0	0
2014-10-17	655	0	0
2014-10-18	656	0	0
2014-10-19	657	0	0
2014-10-20	658	0	0
2014-10-21	659	0	0
2014-10-22	660	0	0
2014-10-23	661	0	0
2014-10-24	662	0	0
2014-10-25	663	0	0
2014-10-26	664	0	0
2014-10-27	665	0	0
2014-10-28	666	0	0
2014-10-29	667	0	0
2014-10-30	668	0	0
2014-10-31	669	0	0
2014-11-01	670	0	0
2014-11-02	671	0	0
2014-11-03	672	0	0
2014-11-04	673	0	0
2014-11-05	674	0	0
2014-11-06	675	0	0
2014-11-07	676	0	0
2014-11-08	677	0	0
2014-11-09	678	0	0
2014-11-10	679	0	0
2014-11-11	680	0	0
2014-11-12	681	0	0
2014-11-13	682	0	0
2014-11-14	683	0	0
2014-11-15	684	0	0
2014-11-16	685	0	0
2014-11-17	686	0	0
2014-11-18	687	0	0
2014-11-19	688	0	0
2014-11-20	689	0	0
2014-11-21	690	0	0
2014-11-22	691	0	0
2014-11-23	692	0	0
2014-11-24	693	0	0
2014-11-25	694	0	0
2014-11-26	695	0	0
2014-11-27	696	0	0
2014-11-28	697	0	0
2014-11-29	698	0	0
2014-11-30	699	0	0
2014-12-01	700	0	0
2014-12-02	701	0	0
2014-12-03	702	0	0
2014-12-04	703	0	0
2014-12-05	704	0	0
2014-12-06	705	0	0
2014-12-07	706	0	0
2014-12-08	707	0	0
2014-12-09	708	0	0
2014-12-10	709	0	0
2014-12-11	710	0	0
2014-12-12	711	0	0
2014-12-13	712	0	0
2014-12-14	713	0	0
2014-12-15	714	0	0
2014-12-16	715	0	0
2014-12-17	716	0	0
2014-12-18	717	0	0
2014-12-19	718	0	0
2014-12-20	719	0	0
2014-12-21	720	0	0
2014-12-22	721	0	0
2014-12-23	722	0	0
2014-12-24	723	0	0
2014-12-25	724	0	0
2014-12-26	725	0	0
2014-12-27	726	0	0
2014-12-28	727	0	0
2014-12-29	728	0	0
2014-12-30	729	0	0
2014-12-31	730	0	0
2015-01-01	731	0	0
2015-01-02	732	0	0
2015-01-03	733	0	0
2015-01-04	734	0	0
2015-01-05	735	0	0
2015-01-06	736	0	0
2015-01-07	737	0	0
2015-01-08	738	0	0
2015-01-09	739	0	0
2015-01-10	740	0	0
2015-01-11	741	0	0
2015-01-12	742	0	0
2015-01-13	743	0	0
2015-01-14	744	0	0
2015-01-15	745	0	0
2015-01-16	746	0	0
2015-01-17	747	0	0
2015-01-18	748	0	0
2015-01-19	749	0	0
2015-01-20	750	0	0
2015-01-21	751	0	0
2015-01-22	752	0	0
2015-01-23	753	0	0
2015-01-24	754	0	0
2015-01-25	755	0	0
2015-01-26	756	0	0
2015-01-27	757	0	0
2015-01-28	758	0	0
2015-01-29	759	0	0
2015-01-30	760	0	0
2015-01-31	761	0	0
2015-02-01	762	0	0
2015-02-02	763	0	0
2015-02-03	764	0	0
2015-02-04	765	0	0
2015-02-05	766	0	0
2015-02-06	767	0	0
2015-02-07	768	0	0
2015-02-08	769	0	0
2015-02-09	770	0	0
2015-02-10	771	0	0
2015-02-11	772	0	0
2015-02-12	773	0	0
2015-02-13	774	0	0
2015-02-14	775	0	0
2015-02-15	776	0	0
2015-02-16	777	0	0
2015-02-17	778	0	0
2015-02-18	779	0	0
2015-02-19	780	0	0
2015-02-20	781	0	0
2015-02-21	782	0	0
2015-02-22	783	0	0
2015-02-23	784	0	0
2015-02-24	785	0	0
2015-02-25	786	0	0
2015-02-26	787	0	0
2015-02-27	788	0	0
2015-02-28	789	0	0
2015-03-01	790	0	0
2015-03-02	791	0	0
2015-03-03	792	0	0
2015-03-04	793	0	0
2015-03-05	794	0	0
2015-03-06	795	0	0
2015-03-07	796	0	0
2015-03-08	797	0	0
2015-03-09	798	0	0
2015-03-10	799	0	0
2015-03-11	800	0	0
2015-03-12	801	0	0
2015-03-13	802	0	0
2015-03-14	803	0	0
2015-03-15	804	0	0
2015-03-16	805	0	0
2015-03-17	806	0	0
2015-03-18	807	0	0
2015-03-19	808	0	0
2015-03-20	809	0	0
2015-03-21	810	0	0
2015-03-22	811	0	0
2015-03-23	812	0	0
2015-03-24	813	0	0
2015-03-25	814	0	0
2015-03-26	815	0	0
2015-03-27	816	0	0
2015-03-28	817	0	0
2015-03-29	818	0	0
2015-03-30	819	0	0
2015-03-31	820	0	0
2015-04-01	821	0	0
2015-04-02	822	0	0
2015-04-03	823	0	0
2015-04-04	824	0	0
2015-04-05	825	0	0
2015-04-06	826	0	0
2015-04-07	827	0	0
2015-04-08	828	0	0
2015-04-09	829	0	0
2015-04-10	830	0	0
2015-04-11	831	0	0
2015-04-12	832	0	0
2015-04-13	833	0	0
2015-04-14	834	0	0
2015-04-15	835	0	0
2015-04-16	836	0	0
2015-04-17	837	0	0
2015-04-18	838	0	0
2015-04-19	839	0	0
2015-04-20	840	0	0
2015-04-21	841	0	0
2015-04-22	842	0	0
2015-04-23	843	0	0
2015-04-24	844	0	0
2015-04-25	845	0	0
2015-04-26	846	0	0
2015-04-27	847	0	0
2015-04-28	848	0	0
2015-04-29	849	0	0
2015-04-30	850	0	0
2015-05-01	851	0	0
2015-05-02	852	0	0
2015-05-03	853	0	0
2015-05-04	854	0	0
2015-05-05	855	0	0
2015-05-06	856	0	0
2015-05-07	857	0	0
2015-05-08	858	0	0
2015-05-09	859	0	0
2015-05-10	860	0	0
2015-05-11	861	0	0
2015-05-12	862	0	0
2015-05-13	863	0	0
2015-05-14	864	0	0
2015-05-15	865	0	0
2015-05-16	866	0	0
2015-05-17	867	0	0
2015-05-18	868	0	0
2015-05-19	869	0	0
2015-05-20	870	0	0
2015-05-21	871	0	0
2015-05-22	872	0	0
2015-05-23	873	0	0
2015-05-24	874	0	0
2015-05-25	875	0	0
2015-05-26	876	0	0
2015-05-27	877	0	0
2015-05-28	878	0	0
2015-05-29	879	0	0
2015-05-30	880	0	0
2015-05-31	881	0	0
2015-06-01	882	0	0
2015-06-02	883	0	0
2015-06-03	884	0	0
2015-06-04	885	0	0
2015-06-05	886	0	0
2015-06-06	887	0	0
2015-06-07	888	0	0
2015-06-08	889	0	0
2015-06-09	890	0	0
2015-06-10	891	0	0
2015-06-11	892	0	0
2015-06-12	893	0	0
2015-06-13	894	0	0
2015-06-14	895	0	0
2015-06-15	896	0	0
2015-06-16	897	0	0
2015-06-17	898	0	0
2015-06-18	899	0	0
2015-06-19	900	0	0
2015-06-20	901	0	0
2015-06-21	902	0	0
2015-06-22	903	0	0
2015-06-23	904	0	0
2015-06-24	905	0	0
2015-06-25	906	0	0
2015-06-26	907	0	0
2015-06-27	908	0	0
2015-06-28	909	0	0
2015-06-29	910	0	0
2015-06-30	911	0	0
2015-07-01	912	0	0
2015-07-02	913	0	0
2015-07-03	914	0	0
2015-07-04	915	0	0
2015-07-05	916	0	0
2015-07-06	917	0	0
2015-07-07	918	0	0
2015-07-08	919	0	0
2015-07-09	920	0	0
2015-07-10	921	0	0
2015-07-11	922	0	0
2015-07-12	923	0	0
2015-07-13	924	0	0
2015-07-14	925	0	0
2015-07-15	926	0	0
2015-07-16	927	0	0
2015-07-17	928	0	0
2015-07-18	929	0	0
2015-07-19	930	0	0
2015-07-20	931	0	0
2015-07-21	932	0	0
2015-07-22	933	0	0
2015-07-23	934	0	0
2015-07-24	935	0	0
2015-07-25	936	0	0
2015-07-26	937	0	0
2015-07-27	938	0	0
2015-07-28	939	0	0
2015-07-29	940	0	0
2015-07-30	941	0	0
2015-07-31	942	0	0
2015-08-01	943	0	0
2015-08-02	944	0	0
2015-08-03	945	0	0
2015-08-04	946	0	0
2015-08-05	947	0	0
2015-08-06	948	0	0
2015-08-07	949	0	0
2015-08-08	950	0	0
2015-08-09	951	0	0
2015-08-10	952	0	0
2015-08-11	953	0	0
2015-08-12	954	0	0
2015-08-13	955	0	0
