Simulation results on grassland dynamics (at population and community level).
Time	PFT	Fraction
80	2	0
81	0	0
81	1	0
81	2	0
82	0	0
82	1	0
82	2	0
83	0	0
83	1	0
83	2	0
84	0	0
84	1	0
84	2	0
85	0	0
85	1	0
85	2	0
86	0	0
86	1	0
86	2	0
87	0	0
87	1	0
87	2	0
88	0	0
88	1	0
88	2	0
89	0	0
89	1	0
89	2	0
90	0	0
90	1	0
90	2	0
91	0	0
91	1	0
91	2	0
92	0	0
92	1	0
92	2	0
93	0	0
93	1	0
93	2	0
94	0	0
94	1	0
94	2	0
95	0	0
95	1	0
95	2	0
96	0	0
96	1	0
96	2	0
97	0	0
97	1	0
97	2	0
98	0	0
98	1	0
98	2	0
99	0	0
99	1	0
99	2	0
100	0	0
100	1	0
100	2	0
101	0	0
101	1	0
101	2	0
102	0	0
102	1	0
102	2	0
103	0	0
103	1	0
103	2	0
104	0	0
104	1	0
104	2	0
105	0	0
105	1	0
105	2	0
106	0	0
106	1	0
106	2	0
107	0	0
107	1	0
107	2	0
108	0	0
108	1	0
108	2	0
109	0	0
109	1	0
109	2	0
110	0	0
110	1	0
110	2	0
111	0	0
111	1	0
111	2	0
112	0	0
112	1	0
112	2	0
113	0	0
113	1	0
113	2	0
114	0	0
114	1	0
114	2	0
115	0	0
115	1	0
115	2	0
116	0	0
116	1	0
116	2	0
117	0	0
117	1	0
117	2	0
118	0	0
118	1	0
118	2	0
119	0	0
119	1	0
119	2	0
120	0	0
120	1	0
120	2	0
121	0	0
121	1	0
121	2	0
122	0	0
122	1	0
122	2	0
123	0	0
123	1	0
123	2	0
124	0	0
124	1	0
124	2	0
125	0	0
125	1	0
125	2	0
126	0	0
126	1	0
126	2	0
127	0	0
127	1	0
127	2	0
128	0	0
128	1	0
128	2	0
129	0	0
129	1	0
129	2	0
130	0	0
130	1	0
130	2	0
131	0	0
131	1	0
131	2	0
132	0	0
132	1	0
132	2	0
133	0	0
133	1	0
133	2	0
134	0	0
134	1	0
134	2	0
135	0	0
135	1	0
135	2	0
136	0	0
136	1	0
136	2	0
137	0	0
137	1	0
137	2	0
138	0	0
138	1	0
138	2	0
139	0	0
139	1	0
139	2	0
140	0	0
140	1	0
140	2	0
141	0	0
141	1	0
141	2	0
142	0	0
142	1	0
142	2	0
143	0	0
143	1	0
143	2	0
144	0	0
144	1	0
144	2	0
145	0	0
145	1	0
145	2	0
146	0	0
146	1	0
146	2	0
147	0	0
147	1	0
147	2	0
148	0	0
148	1	0
148	2	0
149	0	0
149	1	0
149	2	0
150	0	0
150	1	0
150	2	0
151	0	0
151	1	0
151	2	0
152	0	0
152	1	0
152	2	0
153	0	0
153	1	0
153	2	0
154	0	0
154	1	0
154	2	0
155	0	0
155	1	0
155	2	0
156	0	0
156	1	0
156	2	0
157	0	0
157	1	0
157	2	0
158	0	0
158	1	0
158	2	0
159	0	0
159	1	0
159	2	0
160	0	0
160	1	0
160	2	0
161	0	0
161	1	0
161	2	0
162	0	0
162	1	0
162	2	0
163	0	0
163	1	0
163	2	0
164	0	0
164	1	0
164	2	0
165	0	0
165	1	0
165	2	0
166	0	0
166	1	0
166	2	0
167	0	0
167	1	0
167	2	0
168	0	0
168	1	0
168	2	0
169	0	0
169	1	0
169	2	0
170	0	0
170	1	0
170	2	0
171	0	0
171	1	0
171	2	0
172	0	0
172	1	0
172	2	0
173	0	0
173	1	0
173	2	0
174	0	0
174	1	0
174	2	0
175	0	0
175	1	0
175	2	0
176	0	0
176	1	0
176	2	0
177	0	0
177	1	0
177	2	0
178	0	0
178	1	0
178	2	0
179	0	0
179	1	0
179	2	0
180	0	0
180	1	0
180	2	0
181	0	0
181	1	0
181	2	0
182	0	0
182	1	0
182	2	0
183	0	0
183	1	0
183	2	0
184	0	0
184	1	0
184	2	0
185	0	0
185	1	0
185	2	0
186	0	0
186	1	0
186	2	0
187	0	0
187	1	0
187	2	0
188	0	0
188	1	0
188	2	0
189	0	0
189	1	0
189	2	0
190	0	0
190	1	0
190	2	0
191	0	0
191	1	0
191	2	0
192	0	0
192	1	0
192	2	0
193	0	0
193	1	0
193	2	0
194	0	0
194	1	0
194	2	0
195	0	0
195	1	0
195	2	0
196	0	0
196	1	0
196	2	0
197	0	0
197	1	0
197	2	0
198	0	0
198	1	0
198	2	0
199	0	0
199	1	0
199	2	0
200	0	0
200	1	0
200	2	0
201	0	0
201	1	0
201	2	0
202	0	0
202	1	0
202	2	0
203	0	0
203	1	0
203	2	0
204	0	0
204	1	0
204	2	0
205	0	0
205	1	0
205	2	0
206	0	0
206	1	0
206	2	0
207	0	0
207	1	0
207	2	0
208	0	0
208	1	0
208	2	0
209	0	0
209	1	0
209	2	0
210	0	0
210	1	0
210	2	0
211	0	0
211	1	0
211	2	0
212	0	0
212	1	0
212	2	0
213	0	0
213	1	0
213	2	0
214	0	0
214	1	0
214	2	0
215	0	0
215	1	0
215	2	0
216	0	0
216	1	0
216	2	0
217	0	0
217	1	0
217	2	0
218	0	0
218	1	0
218	2	0
219	0	0
219	1	0
219	2	0
220	0	0
220	1	0
220	2	0
221	0	0
221	1	0
221	2	0
222	0	0
222	1	0
222	2	0
223	0	0
223	1	0
223	2	0
224	0	0
224	1	0
224	2	0
225	0	0
225	1	0
225	2	0
226	0	0
226	1	0
226	2	0
227	0	0
227	1	0
227	2	0
228	0	0
228	1	0
228	2	0
229	0	0
229	1	0
229	2	0
230	0	0
230	1	0
230	2	0
231	0	0
231	1	0
231	2	0
232	0	0
232	1	0
232	2	0
233	0	0
233	1	0
233	2	0
234	0	0
234	1	0
234	2	0
235	0	0
235	1	0
235	2	0
236	0	0
236	1	0
236	2	0
237	0	0
237	1	0
237	2	0
238	0	0
238	1	0
238	2	0
239	0	0
239	1	0
239	2	0
240	0	0
240	1	0
240	2	0
241	0	0
241	1	0
241	2	0
242	0	0
242	1	0
242	2	0
243	0	0
243	1	0
243	2	0
244	0	33.3333
244	1	33.3333
244	2	33.3333
245	0	33.3333
245	1	33.3333
245	2	33.3333
246	0	28.5714
246	1	28.5714
246	2	42.8571
247	0	25
247	1	25
247	2	50
248	0	30
248	1	20
248	2	50
249	0	33.3333
249	1	16.6667
249	2	50
250	0	33.3333
250	1	20
250	2	46.6667
251	0	33.3333
251	1	22.2222
251	2	44.4444
252	0	33.3333
252	1	22.2222
252	2	44.4444
253	0	35
253	1	20
253	2	45
254	0	40
254	1	15
254	2	45
255	0	39.1304
255	1	17.3913
255	2	43.4783
256	0	41.6667
256	1	12.5
256	2	45.8333
257	0	47.8261
257	1	8.69565
257	2	43.4783
258	0	48
258	1	8
258	2	44
259	0	48.1481
259	1	11.1111
259	2	40.7407
260	0	46.4286
260	1	14.2857
260	2	39.2857
261	0	44.8276
261	1	13.7931
261	2	41.3793
262	0	48.2759
262	1	10.3448
262	2	41.3793
263	0	51.7241
263	1	10.3448
263	2	37.931
264	0	53.3333
264	1	6.66667
264	2	40
265	0	54.8387
265	1	6.45161
265	2	38.7097
266	0	54.5455
266	1	9.09091
266	2	36.3636
267	0	51.6129
267	1	6.45161
267	2	41.9355
268	0	50
268	1	8.82353
268	2	41.1765
269	0	50
269	1	8.33333
269	2	41.6667
270	0	51.4286
270	1	5.71429
270	2	42.8571
271	0	47.2222
271	1	8.33333
271	2	44.4444
272	0	48.6486
272	1	8.10811
272	2	43.2432
273	0	47.5
273	1	10
273	2	42.5
274	0	47.619
274	1	11.9048
274	2	40.4762
275	0	46.5116
275	1	11.6279
275	2	41.8605
276	0	46.6667
276	1	13.3333
276	2	40
277	0	48.8889
277	1	8.88889
277	2	42.2222
278	0	47.9167
278	1	10.4167
278	2	41.6667
279	0	50
279	1	10.4167
279	2	39.5833
280	0	51.0204
280	1	10.2041
280	2	38.7755
281	0	53.0612
281	1	10.2041
281	2	36.7347
282	0	51.9231
282	1	11.5385
282	2	36.5385
283	0	52.8302
283	1	11.3208
283	2	35.8491
284	0	53.8462
284	1	11.5385
284	2	34.6154
285	0	56
285	1	10
285	2	34
286	0	59.1837
286	1	8.16327
286	2	32.6531
287	0	56.8627
287	1	9.80392
287	2	33.3333
288	0	55.7692
288	1	9.61538
288	2	34.6154
289	0	54.717
289	1	11.3208
289	2	33.9623
290	0	54.902
290	1	9.80392
290	2	35.2941
291	0	54.717
291	1	9.43396
291	2	35.8491
292	0	55.7692
292	1	9.61538
292	2	34.6154
293	0	53.7037
293	1	11.1111
293	2	35.1852
294	0	54.717
294	1	9.43396
294	2	35.8491
295	0	50.9804
295	1	9.80392
295	2	39.2157
296	0	51.0204
296	1	6.12245
296	2	42.8571
297	0	52.0833
297	1	8.33333
297	2	39.5833
298	0	52
298	1	10
298	2	38
299	0	52.9412
299	1	7.84314
299	2	39.2157
300	0	52.8302
300	1	7.54717
300	2	39.6226
301	0	52.7273
301	1	7.27273
301	2	40
302	0	52.7273
302	1	7.27273
302	2	40
303	0	51.7241
303	1	8.62069
303	2	39.6552
304	0	51.6667
304	1	8.33333
304	2	40
305	0	50.8197
305	1	9.83607
305	2	39.3443
306	0	50.8197
306	1	11.4754
306	2	37.7049
307	0	50
307	1	10.3448
307	2	39.6552
308	0	49.1525
308	1	10.1695
308	2	40.678
309	0	49.1803
309	1	9.83607
309	2	40.9836
310	0	49.1803
310	1	11.4754
310	2	39.3443
311	0	49.1803
311	1	9.83607
311	2	40.9836
312	0	50
312	1	8.33333
312	2	41.6667
313	0	47.541
313	1	9.83607
313	2	42.623
314	0	49.1525
314	1	6.77966
314	2	44.0678
315	0	46.6667
315	1	8.33333
315	2	45
316	0	47.541
316	1	9.83607
316	2	42.623
317	0	46.7742
317	1	11.2903
317	2	41.9355
318	0	44.4444
318	1	12.6984
318	2	42.8571
319	0	44.2623
319	1	11.4754
319	2	44.2623
320	0	45.1613
320	1	12.9032
320	2	41.9355
321	0	46.7742
321	1	9.67742
321	2	43.5484
322	0	48.3871
322	1	6.45161
322	2	45.1613
323	0	49.2063
323	1	6.34921
323	2	44.4444
324	0	50
324	1	6.66667
324	2	43.3333
325	0	49.1803
325	1	6.55738
325	2	44.2623
326	0	48.4375
326	1	7.8125
326	2	43.75
327	0	49.2308
327	1	6.15385
327	2	44.6154
328	0	50
328	1	3.125
328	2	46.875
329	0	51.6129
329	1	1.6129
329	2	46.7742
330	0	51.5625
330	1	3.125
330	2	45.3125
331	0	50
331	1	4.54545
331	2	45.4545
332	0	48.5294
332	1	5.88235
332	2	45.5882
333	0	48.5294
333	1	5.88235
333	2	45.5882
334	0	49.2537
334	1	4.47761
334	2	46.2687
335	0	48.5294
335	1	5.88235
335	2	45.5882
336	0	47.8261
336	1	5.7971
336	2	46.3768
337	0	47.8873
337	1	7.04225
337	2	45.0704
338	0	49.2958
338	1	7.04225
338	2	43.662
339	0	47.8873
339	1	7.04225
339	2	45.0704
340	0	47.0588
340	1	7.35294
340	2	45.5882
341	0	46.4789
341	1	8.4507
341	2	45.0704
342	0	48.5714
342	1	8.57143
342	2	42.8571
343	0	48.5714
343	1	8.57143
343	2	42.8571
344	0	48.5714
344	1	8.57143
344	2	42.8571
345	0	50
345	1	8.57143
345	2	41.4286
346	0	50.7042
346	1	7.04225
346	2	42.2535
347	0	51.4286
347	1	7.14286
347	2	41.4286
348	0	52.1127
348	1	7.04225
348	2	40.8451
349	0	52.7778
349	1	5.55556
349	2	41.6667
350	0	52.7778
350	1	6.94444
350	2	40.2778
351	0	51.4286
351	1	7.14286
351	2	41.4286
352	0	51.4286
352	1	5.71429
352	2	42.8571
353	0	51.3889
353	1	6.94444
353	2	41.6667
354	0	52.8571
354	1	5.71429
354	2	41.4286
355	0	50.7246
355	1	5.7971
355	2	43.4783
356	0	51.4706
356	1	5.88235
356	2	42.6471
357	0	51.4706
357	1	7.35294
357	2	41.1765
358	0	52.9412
358	1	5.88235
358	2	41.1765
359	0	50.7246
359	1	7.24638
359	2	42.029
360	0	50.7246
360	1	7.24638
360	2	42.029
361	0	50
361	1	8.33333
361	2	41.6667
362	0	50
362	1	8.10811
362	2	41.8919
363	0	50
363	1	9.21053
363	2	40.7895
364	0	51.3158
364	1	7.89474
364	2	40.7895
365	0	49.3506
365	1	9.09091
365	2	41.5584
366	0	49.3506
366	1	9.09091
366	2	41.5584
367	0	49.3671
367	1	8.86076
367	2	41.7722
368	0	50.6667
368	1	6.66667
368	2	42.6667
369	0	51.3158
369	1	5.26316
369	2	43.4211
370	0	50
370	1	6.57895
370	2	43.4211
371	0	48.0519
371	1	7.79221
371	2	44.1558
372	0	47.4359
372	1	7.69231
372	2	44.8718
373	0	48.0519
373	1	5.19481
373	2	46.7532
374	0	46.8354
374	1	6.32911
374	2	46.8354
375	0	47.3684
375	1	7.89474
375	2	44.7368
376	0	48
376	1	9.33333
376	2	42.6667
377	0	48.0519
377	1	9.09091
377	2	42.8571
378	0	46.8354
378	1	10.1266
378	2	43.038
379	0	47.4359
379	1	7.69231
379	2	44.8718
380	0	46.1538
380	1	8.97436
380	2	44.8718
381	0	45.5696
381	1	10.1266
381	2	44.3038
382	0	46.8354
382	1	11.3924
382	2	41.7722
383	0	46.8354
383	1	11.3924
383	2	41.7722
384	0	48.0519
384	1	9.09091
384	2	42.8571
385	0	47.3684
385	1	9.21053
385	2	43.4211
386	0	46.7532
386	1	10.3896
386	2	42.8571
387	0	46.7532
387	1	9.09091
387	2	44.1558
388	0	47.4359
388	1	10.2564
388	2	42.3077
389	0	46.1538
389	1	10.2564
389	2	43.5897
390	0	46.7532
390	1	9.09091
390	2	44.1558
391	0	46.8354
391	1	8.86076
391	2	44.3038
392	0	45.679
392	1	9.87654
392	2	44.4444
393	0	45.5696
393	1	8.86076
393	2	45.5696
394	0	44.3038
394	1	10.1266
394	2	45.5696
395	0	48
395	1	8
395	2	44
396	0	48.6842
396	1	7.89474
396	2	43.4211
397	0	49.3506
397	1	7.79221
397	2	42.8571
398	0	51.3158
398	1	6.57895
398	2	42.1053
399	0	51.3158
399	1	5.26316
399	2	43.4211
400	0	50.6667
400	1	4
400	2	45.3333
401	0	50.6667
401	1	5.33333
401	2	44
402	0	49.3333
402	1	6.66667
402	2	44
403	0	50
403	1	5.40541
403	2	44.5946
404	0	51.3889
404	1	1.38889
404	2	47.2222
405	0	50.6667
405	1	2.66667
405	2	46.6667
406	0	50.6494
406	1	3.8961
406	2	45.4545
407	0	51.2821
407	1	3.84615
407	2	44.8718
408	0	50.6667
408	1	5.33333
408	2	44
409	0	50
409	1	6.57895
409	2	43.4211
410	0	50.6667
410	1	6.66667
410	2	42.6667
411	0	51.3158
411	1	6.57895
411	2	42.1053
412	0	50.6494
412	1	6.49351
412	2	42.8571
413	0	48
413	1	8
413	2	44
414	0	47.9452
414	1	6.84932
414	2	45.2055
415	0	49.2958
415	1	2.8169
415	2	47.8873
416	0	49.2958
416	1	2.8169
416	2	47.8873
417	0	47.2222
417	1	4.16667
417	2	48.6111
418	0	47.1429
418	1	4.28571
418	2	48.5714
419	0	45.7143
419	1	5.71429
419	2	48.5714
420	0	45.0704
420	1	7.04225
420	2	47.8873
421	0	46.2687
421	1	5.97015
421	2	47.7612
422	0	45.4545
422	1	6.06061
422	2	48.4848
423	0	44.7761
423	1	5.97015
423	2	49.2537
424	0	44.1176
424	1	5.88235
424	2	50
425	0	44.7761
425	1	7.46269
425	2	47.7612
426	0	44.7761
426	1	5.97015
426	2	49.2537
427	0	44.2857
427	1	7.14286
427	2	48.5714
428	0	43.0556
428	1	8.33333
428	2	48.6111
429	0	40.8451
429	1	9.85915
429	2	49.2958
430	0	42.2535
430	1	8.4507
430	2	49.2958
431	0	43.4783
431	1	7.24638
431	2	49.2754
432	0	44.1176
432	1	8.82353
432	2	47.0588
433	0	43.4783
433	1	8.69565
433	2	47.8261
434	0	43.9394
434	1	6.06061
434	2	50
435	0	44.1176
435	1	7.35294
435	2	48.5294
436	0	46.9697
436	1	9.09091
436	2	43.9394
437	0	47.6923
437	1	7.69231
437	2	44.6154
438	0	46.9697
438	1	9.09091
438	2	43.9394
439	0	48.4848
439	1	9.09091
439	2	42.4242
440	0	51.5625
440	1	9.375
440	2	39.0625
441	0	51.5625
441	1	9.375
441	2	39.0625
442	0	52.459
442	1	8.19672
442	2	39.3443
443	0	54.2373
443	1	8.47458
443	2	37.2881
444	0	55.1724
444	1	8.62069
444	2	36.2069
445	0	54.386
445	1	7.01754
445	2	38.5965
446	0	55.3571
446	1	5.35714
446	2	39.2857
447	0	55.1724
447	1	5.17241
447	2	39.6552
448	0	55.1724
448	1	5.17241
448	2	39.6552
449	0	54.2373
449	1	6.77966
449	2	38.9831
450	0	54.386
450	1	7.01754
450	2	38.5965
451	0	54.2373
451	1	8.47458
451	2	37.2881
452	0	52.8302
452	1	11.3208
452	2	35.8491
453	0	51.8519
453	1	11.1111
453	2	37.037
454	0	50.9091
454	1	10.9091
454	2	38.1818
455	0	50.9091
455	1	10.9091
455	2	38.1818
456	0	51.8519
456	1	9.25926
456	2	38.8889
457	0	50.8772
457	1	10.5263
457	2	38.5965
458	0	49.1228
458	1	10.5263
458	2	40.3509
459	0	50
459	1	8.92857
459	2	41.0714
460	0	50
460	1	8.62069
460	2	41.3793
461	0	50.8772
461	1	7.01754
461	2	42.1053
462	0	51.7857
462	1	5.35714
462	2	42.8571
463	0	50.8772
463	1	7.01754
463	2	42.1053
464	0	52.6316
464	1	3.50877
464	2	43.8596
465	0	51.6667
465	1	5
465	2	43.3333
466	0	53.3333
466	1	5
466	2	41.6667
467	0	52.459
467	1	4.91803
467	2	42.623
468	0	52.459
468	1	6.55738
468	2	40.9836
469	0	54.0984
469	1	4.91803
469	2	40.9836
470	0	53.2258
470	1	6.45161
470	2	40.3226
471	0	52.459
471	1	6.55738
471	2	40.9836
472	0	52.459
472	1	4.91803
472	2	42.623
473	0	50
473	1	6.66667
473	2	43.3333
474	0	47.4576
474	1	6.77966
474	2	45.7627
475	0	45.9016
475	1	8.19672
475	2	45.9016
476	0	45.9016
476	1	8.19672
476	2	45.9016
477	0	45.1613
477	1	9.67742
477	2	45.1613
478	0	43.5484
478	1	9.67742
478	2	46.7742
479	0	43.0769
479	1	10.7692
479	2	46.1538
480	0	43.75
480	1	7.8125
480	2	48.4375
481	0	45.1613
481	1	6.45161
481	2	48.3871
482	0	46.0317
482	1	6.34921
482	2	47.619
483	0	46.875
483	1	6.25
483	2	46.875
484	0	46.2687
484	1	7.46269
484	2	46.2687
485	0	46.9697
485	1	6.06061
485	2	46.9697
486	0	46.3768
486	1	7.24638
486	2	46.3768
487	0	45.5882
487	1	8.82353
487	2	45.5882
488	0	47.0588
488	1	7.35294
488	2	45.5882
489	0	47.8261
489	1	7.24638
489	2	44.9275
490	0	48.5714
490	1	7.14286
490	2	44.2857
491	0	47.7612
491	1	7.46269
491	2	44.7761
492	0	50
492	1	7.8125
492	2	42.1875
493	0	50.7692
493	1	6.15385
493	2	43.0769
494	0	50.7692
494	1	6.15385
494	2	43.0769
495	0	52.3077
495	1	4.61538
495	2	43.0769
496	0	54.6875
496	1	4.6875
496	2	40.625
497	0	56.25
497	1	3.125
497	2	40.625
498	0	55.3846
498	1	4.61538
498	2	40
499	0	57.8125
499	1	4.6875
499	2	37.5
500	0	58.0645
500	1	6.45161
500	2	35.4839
501	0	57.1429
501	1	7.93651
501	2	34.9206
502	0	57.1429
502	1	7.93651
502	2	34.9206
503	0	56.25
503	1	9.375
503	2	34.375
504	0	56.25
504	1	10.9375
504	2	32.8125
505	0	55.3846
505	1	12.3077
505	2	32.3077
506	0	54.5455
506	1	13.6364
506	2	31.8182
507	0	56.0606
507	1	13.6364
507	2	30.303
508	0	56.25
508	1	10.9375
508	2	32.8125
509	0	55.3846
509	1	12.3077
509	2	32.3077
510	0	58.7302
510	1	9.52381
510	2	31.746
511	0	59.0164
511	1	9.83607
511	2	31.1475
512	0	60
512	1	8.33333
512	2	31.6667
513	0	59.322
513	1	6.77966
513	2	33.8983
514	0	57.377
514	1	8.19672
514	2	34.4262
515	0	56.4516
515	1	8.06452
515	2	35.4839
516	0	55.7377
516	1	8.19672
516	2	36.0656
517	0	57.6271
517	1	5.08475
517	2	37.2881
518	0	55
518	1	6.66667
518	2	38.3333
519	0	54.8387
519	1	8.06452
519	2	37.0968
520	0	54.8387
520	1	8.06452
520	2	37.0968
521	0	54.0984
521	1	6.55738
521	2	39.3443
522	0	53.2258
522	1	6.45161
522	2	40.3226
523	0	53.9683
523	1	6.34921
523	2	39.6825
524	0	53.9683
524	1	7.93651
524	2	38.0952
525	0	54.6875
525	1	7.8125
525	2	37.5
526	0	53.0303
526	1	9.09091
526	2	37.8788
527	0	53.8462
527	1	7.69231
527	2	38.4615
528	0	53.125
528	1	7.8125
528	2	39.0625
529	0	52.3077
529	1	7.69231
529	2	40
530	0	51.5152
530	1	7.57576
530	2	40.9091
531	0	53.0303
531	1	9.09091
531	2	37.8788
532	0	54.5455
532	1	6.06061
532	2	39.3939
533	0	53.7313
533	1	7.46269
533	2	38.806
534	0	52.3077
534	1	7.69231
534	2	40
535	0	53.8462
535	1	4.61538
535	2	41.5385
536	0	54.5455
536	1	4.54545
536	2	40.9091
537	0	53.8462
537	1	4.61538
537	2	41.5385
538	0	55.3846
538	1	4.61538
538	2	40
539	0	54.4118
539	1	5.88235
539	2	39.7059
540	0	54.5455
540	1	4.54545
540	2	40.9091
541	0	56.25
541	1	3.125
541	2	40.625
542	0	54.5455
542	1	4.54545
542	2	40.9091
543	0	53.6232
543	1	5.7971
543	2	40.5797
544	0	53.5211
544	1	5.6338
544	2	40.8451
545	0	52.7778
545	1	5.55556
545	2	41.6667
546	0	52.7778
546	1	4.16667
546	2	43.0556
547	0	52
547	1	5.33333
547	2	42.6667
548	0	52.7778
548	1	4.16667
548	2	43.0556
549	0	52.1127
549	1	4.22535
549	2	43.662
550	0	53.5211
550	1	2.8169
550	2	43.662
551	0	53.5211
551	1	2.8169
551	2	43.662
552	0	52.8571
552	1	4.28571
552	2	42.8571
553	0	52.1739
553	1	4.34783
553	2	43.4783
554	0	50.7042
554	1	5.6338
554	2	43.662
555	0	50.7042
555	1	5.6338
555	2	43.662
556	0	50.6849
556	1	5.47945
556	2	43.8356
557	0	52.8571
557	1	4.28571
557	2	42.8571
558	0	53.5211
558	1	5.6338
558	2	40.8451
559	0	52.7027
559	1	6.75676
559	2	40.5405
560	0	53.4247
560	1	6.84932
560	2	39.726
561	0	52.7778
561	1	6.94444
561	2	40.2778
562	0	52.0548
562	1	6.84932
562	2	41.0959
563	0	51.3514
563	1	8.10811
563	2	40.5405
564	0	51.3514
564	1	8.10811
564	2	40.5405
565	0	50
565	1	9.21053
565	2	40.7895
566	0	51.3158
566	1	10.5263
566	2	38.1579
567	0	51.3514
567	1	8.10811
567	2	40.5405
568	0	52
568	1	8
568	2	40
569	0	51.2821
569	1	8.97436
569	2	39.7436
570	0	51.9481
570	1	10.3896
570	2	37.6623
571	0	53.3333
571	1	9.33333
571	2	37.3333
572	0	52
572	1	9.33333
572	2	38.6667
573	0	54.1667
573	1	6.94444
573	2	38.8889
574	0	55.7143
574	1	4.28571
574	2	40
575	0	54.9296
575	1	4.22535
575	2	40.8451
576	0	55.7143
576	1	5.71429
576	2	38.5714
577	0	55.7143
577	1	5.71429
577	2	38.5714
578	0	54.4118
578	1	5.88235
578	2	39.7059
579	0	56.7164
579	1	5.97015
579	2	37.3134
580	0	55.8824
580	1	7.35294
580	2	36.7647
581	0	55.3846
581	1	6.15385
581	2	38.4615
582	0	56.9231
582	1	4.61538
582	2	38.4615
583	0	56.7164
583	1	4.47761
583	2	38.806
584	0	56.7164
584	1	4.47761
584	2	38.806
585	0	56.5217
585	1	5.7971
585	2	37.6812
586	0	55.8824
586	1	5.88235
586	2	38.2353
587	0	55.8824
587	1	7.35294
587	2	36.7647
588	0	55.8824
588	1	5.88235
588	2	38.2353
589	0	56.9231
589	1	3.07692
589	2	40
590	0	56.0606
590	1	3.0303
590	2	40.9091
591	0	55.3846
591	1	1.53846
591	2	43.0769
592	0	53.7313
592	1	2.98507
592	2	43.2836
593	0	52.1739
593	1	4.34783
593	2	43.4783
594	0	52.1739
594	1	5.7971
594	2	42.029
595	0	51.4286
595	1	5.71429
595	2	42.8571
596	0	52.8571
596	1	4.28571
596	2	42.8571
597	0	53.5211
597	1	5.6338
597	2	40.8451
598	0	52.7778
598	1	5.55556
598	2	41.6667
599	0	52.7027
599	1	5.40541
599	2	41.8919
600	0	53.5211
600	1	4.22535
600	2	42.2535
601	0	54.2857
601	1	5.71429
601	2	40
602	0	54.2857
602	1	4.28571
602	2	41.4286
603	0	53.6232
603	1	4.34783
603	2	42.029
604	0	53.6232
604	1	4.34783
604	2	42.029
605	0	54.2857
605	1	5.71429
605	2	40
606	0	54.9296
606	1	5.6338
606	2	39.4366
607	0	53.4247
607	1	6.84932
607	2	39.726
608	0	55.5556
608	1	5.55556
608	2	38.8889
609	0	57.971
609	1	1.44928
